装等,entry,旧名称,新名称,槽位,定位
230,99498,秘星·雷纹法衣无瑕,祖达克天穹护胸,胸部,法系输出
230,99499,秘星·雷纹束带洞察,守护战带,腰部,法系输出
230,99500,秘星·雷纹束带迅捷,扣带·咒纹,腰部,法系输出
230,99501,秘星·雷纹束带破阵,万法王之战带,腰部,法系输出
230,99502,秘星·雷纹束带无瑕,战带·永恒,腰部,法系输出
230,99503,秘星·雷纹腿卫洞察,泰罗卡森林腿铠,腿部,法系输出
230,99504,秘星·雷纹腿卫迅捷,秘术腿铠,腿部,法系输出
230,99505,秘星·雷纹腿卫破阵,腿铠·翡翠,腿部,法系输出
230,99506,秘星·雷纹腿卫无瑕,死亡骑士碎星战裙,腿部,法系输出
230,99507,秘星·雷纹战靴洞察,圣光镇渊战靴,脚部,法系输出
230,99508,秘星·雷纹战靴迅捷,符文战靴,脚部,法系输出
230,99509,秘星·雷纹战靴破阵,晶歌森林之踏靴,脚部,法系输出
230,99510,秘星·雷纹战靴无瑕,霸主冻结踏靴,脚部,法系输出
230,99511,秘星·雷纹腕轮洞察,破晓者之腕铠,腕部,法系输出
230,99512,秘星·雷纹腕轮迅捷,擎天护腕,腕部,法系输出
230,99513,秘星·雷纹腕轮破阵,荣光·护臂,腕部,法系输出
230,99514,秘星·雷纹腕轮无瑕,圣殿骑士腕铠,腕部,法系输出
230,99515,秘星·雷纹护手洞察,星芒之拳甲,手部,法系输出
230,99516,秘星·雷纹护手迅捷,先驱者镇世护手,手部,法系输出
230,99517,秘星·雷纹护手破阵,红龙焚天手套,手部,法系输出
230,99518,秘星·雷纹护手无瑕,先知护手,手部,法系输出
230,99519,秘星·王庭冠冕洞察,面甲·玄冰,头部,法系输出
230,99520,秘星·王庭冠冕迅捷,圣光之战盔,头部,法系输出
230,99521,秘星·王庭冠冕破阵,幽暗城月刃战盔,头部,法系输出
230,99522,秘星·王庭冠冕无瑕,裁决者面甲,头部,法系输出
230,99523,秘星·王庭肩卫洞察,天穹之肩卫,肩部,法系输出
230,99524,秘星·王庭肩卫迅捷,卡拉赞肩胄,肩部,法系输出
230,99525,秘星·王庭肩卫破阵,降世肩卫,肩部,法系输出
230,99526,秘星·王庭肩卫无瑕,虚空肩卫,肩部,法系输出
230,99527,秘星·王庭胸铠洞察,龙骨之胸铠,胸部,法系输出
230,99528,秘星·王庭胸铠迅捷,奥义护胸,胸部,法系输出
230,99529,秘星·王庭胸铠破阵,龙骨荒野胸铠,胸部,法系输出
230,99530,秘星·王庭胸铠无瑕,混沌·胸铠,胸部,法系输出
230,99531,秘星·王庭束带洞察,纳格兰之腰铠,腰部,法系输出
230,99532,秘星·王庭束带迅捷,腰甲·永恒,腰部,法系输出
230,99533,秘星·王庭束带破阵,幻光腰甲,腰部,法系输出
230,99534,秘星·王庭束带无瑕,极光·扣带,腰部,法系输出
230,99535,秘星·王庭腿卫洞察,远征军之腿胄,腿部,法系输出
230,99536,秘星·王庭腿卫迅捷,寒霜之腿胄,腿部,法系输出
230,99537,秘星·王庭腿卫破阵,净世腿胄,腿部,法系输出
230,99538,秘星·王庭腿卫无瑕,符文大师之腿甲,腿部,法系输出
230,99539,秘星·王庭战靴洞察,破晓·踏靴,脚部,法系输出
230,99540,秘星·王庭战靴迅捷,龙骨·护足,脚部,法系输出
230,99541,秘星·王庭战靴破阵,驭天护足,脚部,法系输出
230,99542,秘星·王庭战靴无瑕,先知之护足,脚部,法系输出
230,99543,秘星·王庭腕轮洞察,护臂·霜裔,腕部,法系输出
230,99544,秘星·王庭腕轮迅捷,腕铠·轮回,腕部,法系输出
230,99545,秘星·王庭腕轮破阵,腕甲·幽影,腕部,法系输出
230,99546,秘星·王庭腕轮无瑕,海加尔山生长臂甲,腕部,法系输出
230,99547,秘星·王庭护手洞察,寒冰皇冠拳甲,手部,法系输出
230,99548,秘星·王庭护手迅捷,灰熊丘陵灵光拳甲,手部,法系输出
230,99549,秘星·王庭护手破阵,冰冠堡垒之手甲,手部,法系输出
230,99550,秘星·王庭护手无瑕,战争领主之拳甲,手部,法系输出
230,99551,晨祷·星纱冠冕洞察,影月谷星芒头饰,头部,治疗
230,99552,晨祷·星纱冠冕迅捷,太阳之井头冠,头部,治疗
230,99553,晨祷·星纱冠冕破阵,银月城头巾,头部,治疗
230,99554,晨祷·星纱冠冕无瑕,惊涛头巾,头部,治疗
230,99555,晨祷·星纱肩卫洞察,圣贤御风披肩,肩部,治疗
230,99556,晨祷·星纱肩卫迅捷,守望肩巾,肩部,治疗
230,99557,晨祷·星纱肩卫破阵,破军者肩巾,肩部,治疗
230,99558,晨祷·星纱肩卫无瑕,破晓之披肩,肩部,治疗
230,99559,晨祷·星纱法衣洞察,陨星·衣袍,胸部,治疗
230,99560,晨祷·星纱法衣迅捷,日蚀·外衣,胸部,治疗
230,99561,晨祷·星纱法衣破阵,仁心衣袍,胸部,治疗
230,99562,晨祷·星纱法衣无瑕,达拉然新月长袍,胸部,治疗
230,99563,晨祷·星纱束带洞察,复苏腰链,腰部,治疗
230,99564,晨祷·星纱束带迅捷,蓝龙军团降临腰带,腰部,治疗
230,99565,晨祷·星纱束带破阵,安戈洛之腰链,腰部,治疗
230,99566,晨祷·星纱束带无瑕,腐化·束腰,腰部,治疗
230,99567,晨祷·星纱腿卫洞察,仁心腿甲,腿部,治疗
230,99568,晨祷·星纱腿卫迅捷,诅咒之地无尽长裤,腿部,治疗
230,99569,晨祷·星纱腿卫破阵,纳克萨玛斯之长裤,腿部,治疗
230,99570,晨祷·星纱腿卫无瑕,自然之裤腿,腿部,治疗
230,99571,晨祷·星纱战靴洞察,沙塔斯长靴,脚部,治疗
230,99572,晨祷·星纱战靴迅捷,破军者裁断护足,脚部,治疗
230,99573,晨祷·星纱战靴破阵,寒冰皇冠足具,脚部,治疗
230,99574,晨祷·星纱战靴无瑕,血精灵魔导师之足具,脚部,治疗
230,99575,晨祷·星纱腕轮洞察,冻结护臂,腕部,治疗
230,99576,晨祷·星纱腕轮迅捷,暴风城之腕轮,腕部,治疗
230,99577,晨祷·星纱腕轮破阵,风暴·护臂,腕部,治疗
230,99578,晨祷·星纱腕轮无瑕,降临腕饰,腕部,治疗
230,99579,晨祷·星纱护手洞察,霜痕手饰,手部,治疗
230,99580,晨祷·星纱护手迅捷,祖达克护手,手部,治疗
230,99581,晨祷·星纱护手破阵,晨辉手饰,手部,治疗
230,99582,晨祷·星纱护手无瑕,荣光护手,手部,治疗
230,99583,晨祷·荒野冠冕洞察,时空之头盔,头部,治疗
230,99584,晨祷·荒野冠冕迅捷,战盔·生命,头部,治疗
230,99585,晨祷·荒野冠冕破阵,石爪山之头冠,头部,治疗
230,99586,晨祷·荒野冠冕无瑕,破军者面甲,头部,治疗
230,99587,晨祷·荒野肩卫洞察,暗影·肩甲,肩部,治疗
230,99588,晨祷·荒野肩卫迅捷,凛冽之披肩,肩部,治疗
230,99589,晨祷·荒野肩卫破阵,荣光之肩铠,肩部,治疗
230,99590,晨祷·荒野肩卫无瑕,镇岳肩卫,肩部,治疗
230,99591,晨祷·荒野法衣洞察,晶歌森林黎明胸甲,胸部,治疗
230,99592,晨祷·荒野法衣迅捷,哀嚎洞穴之护甲,胸部,治疗
230,99593,晨祷·荒野法衣破阵,燃烬者之护甲,胸部,治疗
230,99594,晨祷·荒野法衣无瑕,龙骨荒野之胸甲,胸部,治疗
230,99595,晨祷·荒野束带洞察,断空腰带,腰部,治疗
230,99596,晨祷·荒野束带迅捷,幽魂之地之战带,腰部,治疗
230,99597,晨祷·荒野束带破阵,地狱火半岛腰带,腰部,治疗
230,99598,晨祷·荒野束带无瑕,暮星临世腰甲,腰部,治疗
230,99599,晨祷·荒野腿卫洞察,巨魔祭司战裙,腿部,治疗
230,99600,晨祷·荒野腿卫迅捷,璀璨焚天护腿,腿部,治疗
230,99601,晨祷·荒野腿卫破阵,霜狼酋长镇岳护腿,腿部,治疗
230,99602,晨祷·荒野腿卫无瑕,织法者镇渊护腿,腿部,治疗
230,99603,晨祷·荒野战靴洞察,极光·足甲,脚部,治疗
230,99604,晨祷·荒野战靴迅捷,远征军足甲,脚部,治疗
230,99605,晨祷·荒野战靴破阵,驭雷战靴,脚部,治疗
230,99606,晨祷·荒野战靴无瑕,时空之踏靴,脚部,治疗
230,99607,晨祷·荒野腕轮洞察,黑翼之巢生长护腕,腕部,治疗
230,99608,晨祷·荒野腕轮迅捷,驭雷者护腕,腕部,治疗
230,99609,晨祷·荒野腕轮破阵,凋零之护腕,腕部,治疗
230,99610,晨祷·荒野腕轮无瑕,自然·腕铠,腕部,治疗
230,99611,晨祷·荒野护手洞察,诅咒之地拳甲,手部,治疗
230,99612,晨祷·荒野护手迅捷,圣光手套,手部,治疗
230,99613,晨祷·荒野护手破阵,冰封·护手,手部,治疗
230,99614,晨祷·荒野护手无瑕,手套·冰封,手部,治疗
230,99615,晨祷·雷纹冠冕洞察,裁断头冠,头部,治疗
230,99616,晨祷·雷纹冠冕迅捷,奥术·头冠,头部,治疗
230,99617,晨祷·雷纹冠冕破阵,达拉然头盔,头部,治疗
230,99618,晨祷·雷纹冠冕无瑕,御风者面甲,头部,治疗
230,99619,晨祷·雷纹肩卫洞察,织法者之肩卫,肩部,治疗
230,99620,晨祷·雷纹肩卫迅捷,烈焰肩甲,肩部,治疗
230,99621,晨祷·雷纹肩卫破阵,雷霆崖之披肩,肩部,治疗
230,99622,晨祷·雷纹肩卫无瑕,冬拥湖之肩铠,肩部,治疗
230,99623,晨祷·雷纹法衣洞察,泰坦监护者战衣,胸部,治疗
230,99624,晨祷·雷纹法衣迅捷,惊涛战衣,胸部,治疗
230,99625,晨祷·雷纹法衣破阵,御风者断空战衣,胸部,治疗
230,99626,晨祷·雷纹法衣无瑕,裂地战衣,胸部,治疗
230,99627,晨祷·雷纹束带洞察,风暴领主之扣带,腰部,治疗
230,99628,晨祷·雷纹束带迅捷,仁爱腰带,腰部,治疗
230,99629,晨祷·雷纹束带破阵,仁心战带,腰部,治疗
230,99630,晨祷·雷纹束带无瑕,寒霜之战带,腰部,治疗
230,99631,晨祷·雷纹腿卫洞察,腿铠·符文,腿部,治疗
230,99632,晨祷·雷纹腿卫迅捷,冻结腿甲,腿部,治疗
230,99633,晨祷·雷纹腿卫破阵,命运·护腿,腿部,治疗
230,99634,晨祷·雷纹腿卫无瑕,寒冰皇冠凋零战裙,腿部,治疗
230,99635,晨祷·雷纹战靴洞察,天穹惊涛踏靴,脚部,治疗
230,99636,晨祷·雷纹战靴迅捷,霸主之足甲,脚部,治疗
230,99637,晨祷·雷纹战靴破阵,战靴·月刃,脚部,治疗
230,99638,晨祷·雷纹战靴无瑕,源质镇海战靴,脚部,治疗
230,99639,晨祷·雷纹腕轮洞察,钢铁·护腕,腕部,治疗
230,99640,晨祷·雷纹腕轮迅捷,诅咒之地腕铠,腕部,治疗
230,99641,晨祷·雷纹腕轮破阵,嚎风峡湾之护腕,腕部,治疗
230,99642,晨祷·雷纹腕轮无瑕,缚霜者臂甲,腕部,治疗
230,99643,晨祷·雷纹护手洞察,断空护手,手部,治疗
230,99644,晨祷·雷纹护手迅捷,辉光护手,手部,治疗
230,99645,晨祷·雷纹护手破阵,熔火之心手甲,手部,治疗
230,99646,晨祷·雷纹护手无瑕,幽暗城大地拳甲,手部,治疗
230,99647,晨祷·王庭冠冕洞察,缚龙面甲,头部,治疗
230,99648,晨祷·王庭冠冕迅捷,安戈洛战盔,头部,治疗
230,99649,晨祷·王庭冠冕破阵,秩序之战盔,头部,治疗
230,99650,晨祷·王庭冠冕无瑕,泰坦监护者之面甲,头部,治疗
230,99651,晨祷·王庭肩卫洞察,肩甲·幽影,肩部,治疗
230,99652,晨祷·王庭肩卫迅捷,冲击肩铠,肩部,治疗
230,99653,晨祷·王庭肩卫破阵,青铜龙降世肩卫,肩部,治疗
230,99654,晨祷·王庭肩卫无瑕,圣光肩甲,肩部,治疗
230,99655,晨祷·王庭胸铠洞察,青铜龙之胸铠,胸部,治疗
230,99656,晨祷·王庭胸铠迅捷,破夜胸铠,胸部,治疗
230,99657,晨祷·王庭胸铠破阵,泰坦之胸甲,胸部,治疗
230,99658,晨祷·王庭胸铠无瑕,泰坦监护者护胸,胸部,治疗
230,99659,晨祷·王庭束带洞察,惊雷之腰甲,腰部,治疗
230,99660,晨祷·王庭束带迅捷,灰熊丘陵扣带,腰部,治疗
230,99661,晨祷·王庭束带破阵,星语者之腰铠,腰部,治疗
230,99662,晨祷·王庭束带无瑕,缚龙扣带,腰部,治疗
230,99663,晨祷·王庭腿卫洞察,永夜之腿甲,腿部,治疗
230,99664,晨祷·王庭腿卫迅捷,荣光临世护腿,腿部,治疗
230,99665,晨祷·王庭腿卫破阵,铸魂者之腿胄,腿部,治疗
230,99666,晨祷·王庭腿卫无瑕,奥术之腿铠,腿部,治疗
230,99667,晨祷·王庭战靴洞察,地狱火半岛踏靴,脚部,治疗
230,99668,晨祷·王庭战靴迅捷,泰坦破界踏靴,脚部,治疗
230,99669,晨祷·王庭战靴破阵,死亡骑士镇压护足,脚部,治疗
230,99670,晨祷·王庭战靴无瑕,足铠·山岳,脚部,治疗
230,99671,晨祷·王庭腕轮洞察,黑翼之巢风暴腕铠,腕部,治疗
230,99672,晨祷·王庭腕轮迅捷,奥杜尔腕铠,腕部,治疗
230,99673,晨祷·王庭腕轮破阵,雷霆·臂甲,腕部,治疗
230,99674,晨祷·王庭腕轮无瑕,峥嵘·腕铠,腕部,治疗
230,99675,晨祷·王庭护手洞察,晶歌森林之拳甲,手部,治疗
230,99676,晨祷·王庭护手迅捷,永恒之手甲,手部,治疗
230,99677,晨祷·王庭护手破阵,驭龙者拳甲,手部,治疗
230,99678,晨祷·王庭护手无瑕,裁决者之臂铠,手部,治疗
230,99679,流风·荒野冠冕洞察,战盔·亘古,头部,敏捷输出
230,99680,流风·荒野冠冕迅捷,寒霜之头盔,头部,敏捷输出
230,99681,流风·荒野冠冕破阵,群星守护头盔,头部,敏捷输出
230,99682,流风·荒野冠冕无瑕,穿云兜帽,头部,敏捷输出
230,99683,流风·荒野肩卫洞察,潜踪肩卫,肩部,敏捷输出
230,99684,流风·荒野肩卫迅捷,破军者肩卫,肩部,敏捷输出
230,99685,流风·荒野肩卫破阵,纳格兰披肩,肩部,敏捷输出
230,99686,流风·荒野肩卫无瑕,金曦净世肩甲,肩部,敏捷输出
230,99687,流风·荒野胸铠洞察,生命之护甲,胸部,敏捷输出
230,99688,流风·荒野胸铠迅捷,自然之护胸,胸部,敏捷输出
230,99689,流风·荒野胸铠破阵,通灵学院战衣,胸部,敏捷输出
230,99690,流风·荒野胸铠无瑕,先驱者临世护甲,胸部,敏捷输出
230,99691,流风·荒野束带洞察,疾影扣带,腰部,敏捷输出
230,99692,流风·荒野束带迅捷,虚空风暴山岳扣带,腰部,敏捷输出
230,99693,流风·荒野束带破阵,虚空风暴之扣带,腰部,敏捷输出
230,99694,流风·荒野束带无瑕,源质腰甲,腰部,敏捷输出
230,99695,流风·荒野腿卫洞察,镇魂使战裙,腿部,敏捷输出
230,99696,流风·荒野腿卫迅捷,祖尔法拉克大地腿甲,腿部,敏捷输出
230,99697,流风·荒野腿卫破阵,幽影之战裙,腿部,敏捷输出
230,99698,流风·荒野腿卫无瑕,冰冠堡垒蓝龙腿甲,腿部,敏捷输出
230,99699,流风·荒野战靴洞察,失落·踏靴,脚部,敏捷输出
230,99700,流风·荒野战靴迅捷,足甲·惊雷,脚部,敏捷输出
230,99701,流风·荒野战靴破阵,石爪山之战靴,脚部,敏捷输出
230,99702,流风·荒野战靴无瑕,精金之踏靴,脚部,敏捷输出
230,99703,流风·荒野腕轮洞察,沙塔斯之腕铠,腕部,敏捷输出
230,99704,流风·荒野腕轮迅捷,月刃焚烧腕铠,腕部,敏捷输出
230,99705,流风·荒野腕轮破阵,凛冬·腕铠,腕部,敏捷输出
230,99706,流风·荒野腕轮无瑕,凛冬之臂甲,腕部,敏捷输出
230,99707,流风·荒野护手洞察,潜行者手套,手部,敏捷输出
230,99708,流风·荒野护手迅捷,远征军护手,手部,敏捷输出
230,99709,流风·荒野护手破阵,夜幕护手,手部,敏捷输出
230,99710,流风·荒野护手无瑕,追猎手甲,手部,敏捷输出
230,99711,流风·雷纹冠冕洞察,血月守护头冠,头部,敏捷输出
230,99712,流风·雷纹冠冕迅捷,银色北伐军惊涛战盔,头部,敏捷输出
230,99713,流风·雷纹冠冕破阵,影月谷头盔,头部,敏捷输出
230,99714,流风·雷纹冠冕无瑕,苍白断岳头冠,头部,敏捷输出
230,99715,流风·雷纹肩卫洞察,焚天披肩,肩部,敏捷输出
230,99716,流风·雷纹肩卫迅捷,龙骨荒野肩铠,肩部,敏捷输出
230,99717,流风·雷纹肩卫破阵,焚天肩甲,肩部,敏捷输出
230,99718,流风·雷纹肩卫无瑕,天穹断空肩铠,肩部,敏捷输出
230,99719,流风·雷纹胸铠洞察,虚空风暴星环护胸,胸部,敏捷输出
230,99720,流风·雷纹胸铠迅捷,巨魔祭司断岳战衣,胸部,敏捷输出
230,99721,流风·雷纹胸铠破阵,轮回镇岳胸甲,胸部,敏捷输出
230,99722,流风·雷纹胸铠无瑕,龙骨之护甲,胸部,敏捷输出
230,99723,流风·雷纹束带洞察,扣带·星芒,腰部,敏捷输出
230,99724,流风·雷纹束带迅捷,利爪腰甲,腰部,敏捷输出
230,99725,流风·雷纹束带破阵,利爪战带,腰部,敏捷输出
230,99726,流风·雷纹束带无瑕,血精灵魔导师镇渊腰带,腰部,敏捷输出
230,99727,流风·雷纹腿卫洞察,秘法·腿甲,腿部,敏捷输出
230,99728,流风·雷纹腿卫迅捷,苍翠战裙,腿部,敏捷输出
230,99729,流风·雷纹腿卫破阵,苍翠冻结护腿,腿部,敏捷输出
230,99730,流风·雷纹腿卫无瑕,生命降世腿甲,腿部,敏捷输出
230,99731,流风·雷纹战靴洞察,裁断护足,脚部,敏捷输出
230,99732,流风·雷纹战靴迅捷,幽暗城护足,脚部,敏捷输出
230,99733,流风·雷纹战靴破阵,残月护足,脚部,敏捷输出
230,99734,流风·雷纹战靴无瑕,咒纹战靴,脚部,敏捷输出
230,99735,流风·雷纹腕轮洞察,天启·护腕,腕部,敏捷输出
230,99736,流风·雷纹腕轮迅捷,费伍德之护臂,腕部,敏捷输出
230,99737,流风·雷纹腕轮破阵,通灵学院苍翠腕铠,腕部,敏捷输出
230,99738,流风·雷纹腕轮无瑕,裁断腕铠,腕部,敏捷输出
230,99739,流风·雷纹护手洞察,巨魔祭司碎星手甲,手部,敏捷输出
230,99740,流风·雷纹护手迅捷,迅影护手,手部,敏捷输出
230,99741,流风·雷纹护手破阵,永夜手甲,手部,敏捷输出
230,99742,流风·雷纹护手无瑕,惊涛护手,手部,敏捷输出
230,99743,古铸·王庭冠冕洞察,降临战盔,头部,力量输出
230,99744,古铸·王庭冠冕迅捷,钢铁战盔,头部,力量输出
230,99745,古铸·王庭冠冕破阵,奥格瑞玛轮回面甲,头部,力量输出
230,99746,古铸·王庭冠冕无瑕,先驱者之面甲,头部,力量输出
230,99747,古铸·王庭肩卫洞察,御风者肩卫,肩部,力量输出
230,99748,古铸·王庭肩卫迅捷,驭龙者冻结肩甲,肩部,力量输出
230,99749,古铸·王庭肩卫破阵,祖尔法拉克之肩铠,肩部,力量输出
230,99750,古铸·王庭肩卫无瑕,霸主肩卫,肩部,力量输出
230,99751,古铸·王庭胸铠洞察,永夜之护胸,胸部,力量输出
230,99752,古铸·王庭胸铠迅捷,黑翼之巢之胸甲,胸部,力量输出
230,99753,古铸·王庭胸铠破阵,护胸·星陨,胸部,力量输出
230,99754,古铸·王庭胸铠无瑕,逐日者破云胸甲,胸部,力量输出
230,99755,古铸·王庭束带洞察,圣辉腰铠,腰部,力量输出
230,99756,古铸·王庭束带迅捷,凛冽·腰甲,腰部,力量输出
230,99757,古铸·王庭束带破阵,纳克萨玛斯之腰甲,腰部,力量输出
230,99758,古铸·王庭束带无瑕,奥杜尔太古扣带,腰部,力量输出
230,99759,古铸·王庭腿卫洞察,奥术腿铠,腿部,力量输出
230,99760,古铸·王庭腿卫迅捷,夜幕守护腿胄,腿部,力量输出
230,99761,古铸·王庭腿卫破阵,沙塔斯之护腿,腿部,力量输出
230,99762,古铸·王庭腿卫无瑕,符文驭天腿胄,腿部,力量输出
230,99763,古铸·王庭战靴洞察,暴风城战靴,脚部,力量输出
230,99764,古铸·王庭战靴迅捷,冰冠堡垒深渊足铠,脚部,力量输出
230,99765,古铸·王庭战靴破阵,断空踏靴,脚部,力量输出
230,99766,古铸·王庭战靴无瑕,霸主护足,脚部,力量输出
230,99767,古铸·王庭腕轮洞察,银月城之腕甲,腕部,力量输出
230,99768,古铸·王庭腕轮迅捷,凛冬臂甲,腕部,力量输出
230,99769,古铸·王庭腕轮破阵,织法者腕甲,腕部,力量输出
230,99770,古铸·王庭腕轮无瑕,蓝龙军团破天护臂,腕部,力量输出
230,99771,古铸·王庭护手洞察,驭雷拳甲,手部,力量输出
230,99772,古铸·王庭护手迅捷,翡翠·手甲,手部,力量输出
230,99773,古铸·王庭护手破阵,龙焰拳甲,手部,力量输出
230,99774,古铸·王庭护手无瑕,苍翠之手甲,手部,力量输出
230,99775,磐石·王庭冠冕洞察,血精灵魔导师之战盔,头部,坦克
230,99776,磐石·王庭冠冕迅捷,织法者之面甲,头部,坦克
230,99777,磐石·王庭冠冕破阵,岩心之战盔,头部,坦克
230,99778,磐石·王庭冠冕无瑕,龙骨破夜战盔,头部,坦克
230,99779,磐石·王庭肩卫洞察,先知御风肩铠,肩部,坦克
230,99780,磐石·王庭肩卫迅捷,守望者肩甲,肩部,坦克
230,99781,磐石·王庭肩卫破阵,黎明之肩胄,肩部,坦克
230,99782,磐石·王庭肩卫无瑕,璀璨·肩卫,肩部,坦克
230,99783,磐石·王庭胸铠洞察,陨星护胸,胸部,坦克
230,99784,磐石·王庭胸铠迅捷,回响护胸,胸部,坦克
230,99785,磐石·王庭胸铠破阵,镇魂使战衣,胸部,坦克
230,99786,磐石·王庭胸铠无瑕,暴风城雷霆护胸,胸部,坦克
